label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Bouteloua Lag.,Bouteloua ,Bouteloua Lag.,Plantae Tracheophyta Liliopsida Poales Poaceae Bouteloua,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Bouteloua curtipendula (Michx.) Torr.,Bouteloua curtipendula,Bouteloua curtipendula (Michx.) Torr.,Plantae Tracheophyta Liliopsida Poales Poaceae Bouteloua curtipendula,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Bouteloua dactyloides (Nutt.) Columbus,Bouteloua dactyloides,Bouteloua dactyloides (Nutt.) Columbus,Plantae Tracheophyta Liliopsida Poales Poaceae Bouteloua dactyloides,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Bouteloua gracilis (Kunth) Lag. ex Griffiths,Bouteloua gracilis,Bouteloua gracilis (Kunth) Lag. ex Griffiths,Plantae Tracheophyta Liliopsida Poales Poaceae Bouteloua gracilis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Bouteloua hirsuta Lag.,Bouteloua hirsuta,Bouteloua hirsuta Lag.,Plantae Tracheophyta Liliopsida Poales Poaceae Bouteloua hirsuta,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Bouteloua simplex Lag.,Bouteloua simplex,Bouteloua simplex Lag.,Plantae Tracheophyta Liliopsida Poales Poaceae Bouteloua simplex,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Brassica napus L.,Brassica napus,Brassica napus L.,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Brassica napus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Brickellia eupatorioides (L.) Shinners,Brickellia eupatorioides,Brickellia eupatorioides (L.) Shinners,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Brickellia eupatorioides,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Brickellia suaveolens (Fresen) G.L.Nesom,Brickellia suaveolens,Brickellia suaveolens (Fresen) G.L.Nesom,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Brickellia suaveolens,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Bromus arvensis L.,Bromus arvensis,Bromus arvensis L.,Plantae Tracheophyta Liliopsida Poales Poaceae Bromus arvensis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Bromus inermis Leyss.,Bromus inermis,Bromus inermis Leyss.,Plantae Tracheophyta Liliopsida Poales Poaceae Bromus inermis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Bromus japonicus Houtt.,Bromus japonicus,Bromus japonicus Houtt.,Plantae Tracheophyta Liliopsida Poales Poaceae Bromus japonicus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Bromus tectorum L.,Bromus tectorum,Bromus tectorum L.,Plantae Tracheophyta Liliopsida Poales Poaceae Bromus tectorum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
