label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Astragalus gilviflorus,Astragalus gilviflorus,Astragalus gilviflorus,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus gilviflorus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Astragalus gracilis,Astragalus gracilis,Astragalus gracilis,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus gracilis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
Astragalus hyalinus,Astragalus hyalinus,Astragalus hyalinus,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus hyalinus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Astragalus kentrophyta,Astragalus kentrophyta,Astragalus kentrophyta,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus kentrophyta,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Astragalus laxmannii,Astragalus laxmannii,Astragalus laxmannii,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus laxmannii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Astragalus lotiflorus,Astragalus lotiflorus,Astragalus lotiflorus,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus lotiflorus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Astragalus missouriensis,Astragalus missouriensis,Astragalus missouriensis,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus missouriensis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Astragalus mollissimus,Astragalus mollissimus,Astragalus mollissimus,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus mollissimus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Astragalus multiflorus,Astragalus tenellus,Astragalus multiflorus,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus tenellus,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
Astragalus parryi,Astragalus parryi,Astragalus parryi,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus parryi,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Astragalus pectinatus,Astragalus pectinatus,Astragalus pectinatus,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus pectinatus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
Astragalus plattensis,Astragalus plattensis,Astragalus plattensis,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus plattensis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
